RPM,Traverse_Speed_mm_min,Axial_Force_kN,UTS_MPa
900,25,2,251
900,25,2,254
900,25,2,257
1200,35,3,264
1200,35,3,260
1200,35,3,268
1500,45,4,284
1500,45,4,284
1500,45,4,281
900,35,4,242
900,35,4,244
900,35,4,241
1200,45,2,264
1200,45,2,264
1200,45,2,260
1500,25,3,288
1500,25,3,288
1500,25,3,286
900,45,3,238
900,45,3,231
900,45,3,236
1200,25,4,271
1200,25,4,268
1200,25,4,273
1500,35,2,281
1500,35,2,278
1500,35,2,280
900,25,2,248
900,25,2,248
900,25,2,245
1200,35,3,258
1200,35,3,257
1200,35,3,254
1500,45,4,281
1500,45,4,286
1500,45,4,285
900,35,4,248
900,35,4,246
900,35,4,247
1200,45,2,266
1200,45,2,264
1200,45,2,269
1500,25,3,291
1500,25,3,292
1500,25,3,291
900,45,3,239
900,45,3,242
1200,25,4,276
1200,25,4,274
1500,35,2,286
1500,35,2,285
1500,35,2,285
